observation_time,observation,upstream_receipt,observation_retrieval,available_at,observation_source,quality_status,qc_field,raw_report,observation_file,observation_sha256
2026-08-20 15:51:00+00:00,27.2,2026-08-20 15:54:09.279000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 201551Z 19008KT 10SM FEW050 FEW110 BKN140 BKN250 27/18 A3000 RMK AO2 SLP158 T02720183,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 16:51:00+00:00,27.2,2026-08-20 16:54:15.577000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 201651Z 18005KT 10SM FEW050 BKN110 BKN140 OVC250 27/19 A3000 RMK AO2 SLP159 T02720194 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 17:51:00+00:00,27.2,2026-08-20 17:54:13.458000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 201751Z 17008KT 10SM -RA FEW046 BKN100 OVC200 27/19 A2999 RMK AO2 RAB37 SLP154 P0000 60000 T02720194 10283 20256 58005 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 18:51:00+00:00,26.1,2026-08-20 18:54:09.310000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 201851Z 16008KT 10SM FEW046 BKN070 BKN100 OVC200 26/21 A2996 RMK AO2 RAE1752 SLP146 VCSH NW T02610206,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 19:51:00+00:00,25.6,2026-08-20 19:54:11.086000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 201951Z 14006KT 10SM FEW050 BKN070 OVC100 26/21 A2994 RMK AO2 SLP139 T02560211,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 20:51:00+00:00,24.4,2026-08-20 20:54:10.054000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 202051Z 12008KT 10SM FEW030 SCT047 OVC060 24/22 A2990 RMK AO2 RAB02E46 SLP125 VCSH W P0000 60000 T02440222 58029,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 21:47:00+00:00,24.0,2026-08-20 21:50:14.592000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,SPECI KJFK 202147Z 09005KT 10SM -RA SCT016 BKN024 OVC044 24/22 A2989 RMK AO2 RAB2053 P0015,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 21:51:00+00:00,23.9,2026-08-20 21:54:08.177000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 202151Z 10005KT 10SM -RA SCT016 BKN029 OVC044 24/22 A2988 RMK AO2 RAB2053 SLP119 P0015 T02390222,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 22:29:00+00:00,23.3,2026-08-20 22:32:07.802000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,SPECI KJFK 202229Z 02013KT 1 1/2SM R04R/3500VP6000FT +RA BR BKN015 OVC070 23/22 A2988 RMK AO2 SFC VIS 2 RAE2153B16 P0003 T02330217 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 22:44:00+00:00,22.8,2026-08-20 22:48:03.584000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,SPECI KJFK 202244Z 27016G27KT 250V320 3/4SM R04R/4500VP6000FT +RA BR BKN015 OVC027CB 23/22 A2991 RMK AO2 PK WND 03027/2238 TWR VIS 1 1/2 CB OHD-W MOV E RAE2153B16 P0036 T02280217 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 22:51:00+00:00,21.7,2026-08-20 22:54:07.310000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 202251Z 32033G41KT 3/4SM R04R/2400VP6000FT +RA BR BKN015 OVC027CB 22/20 A2990 RMK AO2 PK WND 33041/2251 WSHFT 2234 TWR VIS 1 1/2 SLP124 CB OHD-W MOV E RAE2153B16 P0054 T02170200 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
