method,prediction_year,historical_year,weight,temperature_shift_c,monthly_hdd_f_days,payout_usd
temperature_trend,2022,2021,0.045454545454545456,0.12284384619587985,90.48209722955862,0.0
trend_half_shift,2022,2000,0.045454545454545456,1.3512823081546783,210.26767982368258,0.0
trend_half_shift,2022,2001,0.045454545454545456,1.2898603850567385,200.24978005865097,0.0
trend_half_shift,2022,2002,0.045454545454545456,1.2284384619587985,269.230269211854,3727.0269211854043
trend_half_shift,2022,2003,0.045454545454545456,1.1670165388608584,243.34299621136228,1138.2996211362297
trend_half_shift,2022,2004,0.045454545454545456,1.1055946157629186,202.94810167392217,0.0
trend_half_shift,2022,2005,0.045454545454545456,1.0441726926649788,203.7612505236699,0.0
trend_half_shift,2022,2006,0.045454545454545456,0.9827507695670388,236.72726398426258,476.72639842625983
trend_half_shift,2022,2007,0.045454545454545456,0.9213288464690988,99.43572922168998,0.0
trend_half_shift,2022,2008,0.045454545454545456,0.8599069233711589,242.88418844829783,1092.4188448297855
trend_half_shift,2022,2009,0.045454545454545456,0.798485000273219,251.74090198721336,1978.0901987213383
trend_half_shift,2022,2010,0.045454545454545456,0.7370630771752791,168.84544798819695,0.0
trend_half_shift,2022,2011,0.045454545454545456,0.6756411540773392,204.09230214385892,0.0
trend_half_shift,2022,2012,0.045454545454545456,0.6142192309793992,172.33132383745289,0.0
trend_half_shift,2022,2013,0.045454545454545456,0.5527973078814593,171.3442617620808,0.0
trend_half_shift,2022,2014,0.045454545454545456,0.4913753847835194,160.60153476257258,0.0
trend_half_shift,2022,2015,0.045454545454545456,0.42995346168557946,207.44034553104683,0.0
trend_half_shift,2022,2016,0.045454545454545456,0.36853153858763954,190.359437533014,0.0
trend_half_shift,2022,2017,0.045454545454545456,0.3071096154896996,108.22405384237078,0.0
trend_half_shift,2022,2018,0.045454545454545456,0.2456876923917597,261.9952430738966,3003.5243073896595
trend_half_shift,2022,2019,0.045454545454545456,0.18426576929381977,184.09300522759148,0.0
trend_half_shift,2022,2020,0.045454545454545456,0.12284384619587985,211.21867015172762,0.0
trend_half_shift,2022,2021,0.045454545454545456,0.06142192309793992,92.25104861477931,0.0
trend_recent_20,2022,2002,0.05,2.6476352170749395,207.93790201309753,0.0
trend_recent_20,2022,2003,0.05,2.515253456221193,183.80850691244262,0.0
trend_recent_20,2022,2004,0.05,2.3828716953674456,143.65911181178777,0.0
trend_recent_20,2022,2005,0.05,2.2504899345136984,156.04148047538217,0.0
trend_recent_20,2022,2006,0.05,2.1181081736599516,187.650321610478,0.0
trend_recent_20,2022,2007,0.05,1.9857264128062047,71.59261702643714,0.0
trend_recent_20,2022,2008,0.05,1.8533446519524577,199.87153140916826,0.0
trend_recent_20,2022,2009,0.05,1.7209628910987107,208.5689366965803,0.0
trend_recent_20,2022,2010,0.05,1.5885811302449637,132.45218724229937,0.0
trend_recent_20,2022,2011,0.05,1.4561993693912167,171.215663837012,0.0
trend_recent_20,2022,2012,0.05,1.3238176085374698,144.52256609265106,0.0
trend_recent_20,2022,2013,0.05,1.1914358476837228,147.30830948338598,0.0
trend_recent_20,2022,2014,0.05,1.0590540868299758,138.12145816153293,0.0
trend_recent_20,2022,2015,0.05,0.9266723259762288,183.7317351443125,0.0
trend_recent_20,2022,2016,0.05,0.7942905651224819,171.9666475867088,0.0
trend_recent_20,2022,2017,0.05,0.6619088042687349,95.6827188940093,0.0
trend_recent_20,2022,2018,0.05,0.5295270434149879,251.77702643706044,1981.7026437060463
trend_recent_20,2022,2019,0.05,0.39714528256124093,173.5687392675237,0.0
trend_recent_20,2022,2020,0.05,0.26476352170749395,204.0659185059423,0.0
trend_recent_20,2022,2021,0.05,0.13238176085374698,90.20740528741207,0.0
expanding,2023,2000,0.043478260869565216,0.0,276.99,4218.000000000006
expanding,2023,2001,0.043478260869565216,0.0,257.09999999999997,2229.000000000002
expanding,2023,2002,0.043478260869565216,0.0,324.51000000000005,8970.000000000011
expanding,2023,2003,0.043478260869565216,0.0,303.57,6876.000000000005
expanding,2023,2004,0.043478260869565216,0.0,260.64,2583.000000000004
