method,prediction_year,n_training_years,predicted_mean,realized_hdd,error,p10,p90,crps,interval_coverage,interval_width,strike,predicted_average_payout_usd,realized_payout_usd,payout_error_usd,positive_payout_frequency
trend_recent_20,2021,20,183.07072352655837,94.08,88.99072352655837,145.70398100897407,230.97908840650015,67.09295031166627,0.0,85.27510739752609,234.80999999999995,126.90807300509391,0.0,126.90807300509391,0.1
expanding,2022,22,227.34545454545452,248.91000000000003,-21.56454545454551,134.772,289.824,16.572148760330577,1.0,155.05200000000002,231.95999999999998,2195.454545454547,1695.0000000000045,500.4545454545423,0.5
recent_10,2022,10,190.443,248.91000000000003,-58.46700000000001,116.76000000000002,233.283,36.98250000000003,0.0,116.52299999999997,231.95999999999998,388.79999999999995,1695.0000000000045,-1306.2000000000046,0.1
recent_20,2022,20,223.37550000000002,248.91000000000003,-25.53450000000001,128.541,291.60900000000004,18.763725000000022,1.0,163.06800000000004,231.95999999999998,2064.1500000000015,1695.0000000000045,369.1499999999969,0.45
temperature_trend,2022,22,165.81788517678928,248.91000000000003,-83.09211482321075,101.28079249922587,213.47459425147082,60.1387664817709,0.0,112.19380175224495,231.95999999999998,96.32039158087815,1695.0000000000045,-1598.6796084191265,0.045454545454545456
trend_half_shift,2022,22,195.15385616423612,248.91000000000003,-53.75614383576391,113.46180193439096,250.90111140962827,30.606616454697377,1.0,137.4393094752373,231.95999999999998,518.9130132585763,1695.0000000000045,-1176.0869867414283,0.2727272727272727
trend_recent_20,2022,20,163.1875391947612,248.91000000000003,-85.72246080523882,95.13518753334958,208.00100548144582,61.91896536381266,0.0,112.86581794809624,231.95999999999998,99.08513218530231,1695.0000000000045,-1595.9148678147021,0.05
expanding,2023,23,228.28304347826085,185.4,42.883043478260845,139.974,289.36800000000005,29.248071833648382,1.0,149.39400000000006,234.80999999999995,2025.000000000003,0.0,2025.000000000003,0.4782608695652174
recent_10,2023,10,195.405,185.4,10.004999999999995,116.76000000000002,251.103,14.019899999999996,1.0,134.343,234.80999999999995,501.3000000000011,0.0,501.3000000000011,0.2
recent_20,2023,20,219.5955,185.4,34.19549999999998,128.541,286.17600000000004,24.25087499999999,1.0,157.63500000000005,234.80999999999995,1557.9000000000024,0.0,1557.9000000000024,0.4
temperature_trend,2023,23,175.33052259284096,185.4,-10.069477407159042,107.01957548132091,229.12564146372563,11.159060577298298,1.0,122.10606598240471,234.80999999999995,117.68521916524867,0.0,117.68521916524867,0.08695652173913043
trend_half_shift,2023,23,200.81911894572283,185.4,15.419118945722829,119.22013521611629,255.33707063623612,15.518492955561975,1.0,136.11693542011983,234.80999999999995,609.5316468853442,0.0,609.5316468853442,0.30434782608695654
trend_recent_20,2023,20,175.12963592044628,185.4,-10.27036407955373,97.5968130487509,227.96269405772506,11.176843177298078,1.0,130.36588100897416,234.80999999999995,139.99178025709512,0.0,139.99178025709512,0.1
expanding,2024,24,226.49625,138.35999999999996,88.13625000000005,145.176,288.91200000000003,61.82401041666668,0.0,143.73600000000005,231.95999999999998,2083.1250000000014,0.0,2083.1250000000014,0.5
recent_10,2024,10,194.67900000000003,138.35999999999996,56.319000000000074,116.76000000000002,251.103,40.53810000000003,1.0,134.343,231.95999999999998,558.3000000000004,0.0,558.3000000000004,0.2
recent_20,2024,20,213.68699999999995,138.35999999999996,75.327,128.541,281.99399999999997,52.58835000000003,1.0,153.45299999999997,231.95999999999998,1328.1000000000008,0.0,1328.1000000000008,0.4
temperature_trend,2024,24,173.77778930575036,138.35999999999996,35.417789305750404,109.3770333660589,227.67612521739133,24.052484231825662,1.0,118.29909185133243,231.95999999999998,106.0318162692847,0.0,106.0318162692847,0.08333333333333333
trend_half_shift,2024,24,199.15514003330995,138.35999999999996,60.79514003330999,123.35858036465639,254.14947292426368,43.64423934337019,1.0,130.7908925596073,231.95999999999998,640.9340576788223,0.0,640.9340576788223,0.2916666666666667
trend_recent_20,2024,20,178.6963666626243,138.35999999999996,40.33636666262436,98.99946665049721,236.3262689788989,28.588080005457236,1.0,137.3268023284017,231.95999999999998,177.90796749939415,0.0,177.90796749939415,0.15
expanding,2025,25,222.97079999999997,219.33000000000004,3.6407999999999276,133.08599999999998,288.456,15.856607999999994,1.0,155.37000000000003,229.11,2136.5999999999995,0.0,2136.5999999999995,0.48
recent_10,2025,10,190.356,219.33000000000004,-28.974000000000046,116.76000000000002,251.103,16.533600000000018,1.0,134.343,229.11,615.2999999999997,0.0,615.2999999999997,0.2
recent_20,2025,20,207.573,219.33000000000004,-11.757000000000033,128.541,281.99399999999997,14.271899999999999,1.0,153.45299999999997,229.11,1284.4499999999996,0.0,1284.4499999999996,0.35
temperature_trend,2025,25,166.85293524565762,219.33000000000004,-52.47706475434242,108.4303700248139,219.89169141439214,32.25880680416874,1.0,111.46132138957825,229.11,86.32473647642713,0.0,86.32473647642713,0.08
trend_half_shift,2025,25,193.74391679404468,219.33000000000004,-25.58608320595536,117.53116198511164,250.04566272952854,15.99657175861044,1.0,132.51450074441692,229.11,602.8009846153842,0.0,602.8009846153842,0.28
trend_recent_20,2025,20,173.58320555420792,219.33000000000004,-45.74679444579212,96.6158553965558,233.15045559058922,26.315514990298436,1.0,136.53460019403343,229.11,173.46363085132026,0.0,173.46363085132026,0.15
